pce_max,FA,MA,Cs,Rb,Pb,Sn,I,Br,Cl,effective_area,anneal_T1,anneal_t1,anneal_T2,anneal_t2,encapsulation,ISOS-test_type,Temperature,RH,Sun,thickness,stable,deposit_type_Encoded,deposit_step_Encoded,anti_solution_Encoded,anti_add_Encoded,precursor_solution_Encoded,precursor_add_Encoded,structure_Encoded,substrate_Encoded,electrode_Encoded,ETL_Encoded,ETL-2_Encoded,ETL_add_Encoded,HTL_Encoded,HTL-2_Encoded,HTL_add_Encoded,up_passive_Encoded,down_passive_Encoded,anneal_atmosphere_Encoded,Is_FAMACs,Is_FACs,double_element,Is_FA,single_element,Is_FAMA,Is_Cs,Is_MA,tf,miu
0.2532,0.93,0.07,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,15.0,0,0,1,5.0,25.0,30.0,100.0,5,1.0,3,2,10,32,7,84,1,2,0,11,27,38,56,15,14,167,68,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9813582195498664,0.5409090909090909
0.2532,0.93,0.07,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,15.0,0,0,0,2.0,25.0,45.0,0.0,5,1.0,3,2,10,32,7,84,1,2,0,11,27,38,56,15,14,167,68,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9813582195498664,0.5409090909090909
0.2532,0.93,0.07,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,15.0,0,0,0,8.0,85.0,30.0,0.0,5,1.0,3,2,10,32,7,84,1,2,0,11,27,38,56,15,14,167,68,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9813582195498664,0.5409090909090909
0.2532,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.08,150,15.0,0,0,0,2.0,25.0,10.0,0.0,8,1.0,3,2,10,32,7,168,1,0,3,14,27,38,56,15,14,87,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2532,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.08,150,15.0,0,0,0,10.0,50.0,0.0,100.0,8,1.0,3,2,10,32,7,168,1,0,3,14,27,38,56,15,14,87,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2532,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.08,150,15.0,0,0,1,3.0,25.0,85.0,0.0,8,0.0,3,2,10,32,7,168,1,0,3,14,27,38,56,15,14,87,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2532,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.08,150,15.0,0,0,0,7.0,85.0,0.0,0.0,8,0.0,3,2,10,32,7,168,1,0,3,14,27,38,56,15,14,87,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2532,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.08,150,15.0,0,0,1,9.0,85.0,85.0,0.0,8,0.0,3,2,10,32,7,168,1,0,3,14,27,38,56,15,14,87,1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2532,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,10.0,0,0,0,2.0,25.0,35.0,0.0,6,1.0,2,1,6,32,6,78,1,0,3,14,27,38,56,15,14,167,68,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2532,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,15.0,0,0,0,2.0,25.0,35.0,0.0,5,1.0,5,1,6,32,6,103,1,0,3,14,27,38,56,15,14,110,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2532,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,15.0,0,0,0,8.0,85.0,10.0,0.0,5,1.0,5,1,6,32,6,103,1,0,3,14,27,38,56,15,14,110,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.253,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,10.0,0,0,0,2.0,25.0,30.0,0.0,5,1.0,2,1,6,32,6,80,1,0,3,14,27,38,56,15,14,110,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.253,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,10.0,0,0,0,5.0,25.0,30.0,100.0,5,1.0,2,1,6,32,6,80,1,0,3,14,27,38,56,15,14,110,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2524,0.942,0.008,0.05,0.0,1.0,0.0,2.976,0.024,0.0,0.06,100,30.0,150,10,0,5.0,25.0,30.0,100.0,5,1.0,5,1,0,32,6,133,1,0,3,17,14,38,56,15,19,110,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9771976195261958,0.5413815693696317
0.2524,0.942,0.008,0.05,0.0,1.0,0.0,2.976,0.024,0.0,0.06,100,30.0,150,10,0,7.0,60.0,0.0,0.0,5,1.0,5,1,0,32,6,133,1,0,3,17,14,38,56,15,19,110,68,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9771976195261958,0.5413815693696317
0.2524,0.9,0.0,0.1,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,10.0,0,0,0,2.0,25.0,30.0,0.0,5,1.0,5,1,0,32,6,211,1,0,3,11,27,38,56,15,14,167,24,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9686761544783156,0.5409090909090909
0.2524,0.9,0.0,0.1,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,10.0,0,0,0,7.0,85.0,0.0,0.0,5,1.0,5,1,0,32,6,211,1,0,3,11,27,38,49,15,14,167,24,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9686761544783156,0.5409090909090909
0.2524,0.9,0.0,0.1,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,10.0,0,0,1,5.0,25.0,30.0,100.0,5,1.0,5,1,0,32,6,211,1,0,3,11,27,38,56,15,14,167,24,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9686761544783156,0.5409090909090909
0.2521,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,1.047,100,30.0,150,10,1,8.0,60.0,25.0,0.0,6,1.0,5,1,0,32,6,78,1,0,3,11,27,38,16,15,19,167,68,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.2521,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,1.047,100,30.0,150,10,0,4.0,25.0,0.0,100.0,6,1.0,5,1,0,32,6,78,1,0,3,11,27,38,16,15,19,167,68,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.252,0.92,0.0,0.08,0.0,1.0,0.0,3.0,0.0,0.0,0.1,150,10.0,100,10,0,2.0,25.0,20.0,0.0,5,1.0,2,1,0,32,6,211,1,0,3,19,15,38,56,15,19,60,68,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9722638439393464,0.5409090909090909
0.252,0.92,0.0,0.08,0.0,1.0,0.0,3.0,0.0,0.0,0.1,150,10.0,100,10,0,4.0,25.0,0.0,100.0,5,1.0,2,1,0,32,6,211,1,0,3,19,15,38,56,15,19,60,68,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9722638439393464,0.5409090909090909
0.252,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.08,100,5.0,100,55,0,4.0,25.0,0.0,100.0,5,1.0,5,1,6,32,6,211,1,0,3,11,27,38,56,15,19,35,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.252,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.08,100,5.0,100,55,0,2.0,30.0,30.0,0.0,5,1.0,5,1,6,32,6,211,1,0,3,11,27,38,56,15,19,35,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.252,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.08,100,5.0,100,55,0,7.0,85.0,0.0,0.0,5,1.0,5,1,6,32,6,211,1,0,3,11,27,38,56,15,19,35,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2519,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.108,150,10.0,0,0,0,2.0,25.0,5.0,0.0,5,1.0,3,2,10,32,7,78,1,0,3,11,27,38,56,15,14,59,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2519,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.108,150,10.0,0,0,0,4.0,25.0,0.0,100.0,5,1.0,3,2,10,32,7,78,1,0,3,11,27,38,56,15,14,59,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2518,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.09,100,30.0,0,0,0,4.0,25.0,0.0,100.0,6,1.0,5,1,0,32,6,39,0,2,0,6,2,38,38,13,37,167,9,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.2517,0.87,0.05,0.05,0.03,1.0,0.0,2.94,0.0,0.06,0.09,110,60.0,0,0,0,1.0,25.0,0.0,0.0,5,1.0,5,1,4,32,6,36,1,0,12,11,27,30,56,15,19,110,33,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679204397254717,0.5428336830581152
0.2517,0.87,0.05,0.05,0.03,1.0,0.0,2.94,0.0,0.06,0.09,110,60.0,0,0,0,4.0,30.0,0.0,100.0,5,1.0,5,1,4,32,6,36,1,0,12,11,27,30,56,15,19,110,33,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9679204397254717,0.5428336830581152
0.2516,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.062,150,15.0,0,0,0,2.0,25.0,30.0,0.0,5,1.0,3,2,10,32,7,211,1,0,12,11,27,38,56,15,11,110,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2516,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.062,150,15.0,0,0,0,7.0,85.0,0.0,0.0,5,1.0,3,2,10,32,7,211,1,0,12,11,27,38,56,15,11,110,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2516,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.062,150,15.0,0,0,0,5.0,25.0,30.0,100.0,5,1.0,3,2,10,32,7,211,1,0,12,11,27,38,56,15,11,110,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2512,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,150,15.0,0,0,0,1.0,25.0,0.0,0.0,5,1.0,3,2,10,32,7,113,1,2,3,11,27,38,56,15,14,167,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.251,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.05,90,1.0,150,10,0,1.0,25.0,0.0,0.0,7,1.0,3,2,10,32,7,78,1,2,12,11,27,38,56,15,19,86,68,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.251,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.05,90,1.0,150,10,1,5.0,25.0,60.0,100.0,7,1.0,3,2,10,32,7,78,1,2,12,11,27,38,56,15,19,86,68,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.251,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.05,90,1.0,150,10,0,7.0,85.0,0.0,0.0,7,1.0,3,2,10,32,7,78,1,2,12,11,27,38,49,15,40,86,68,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.251,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.09,100,30.0,0,0,0,2.0,25.0,30.0,0.0,6,1.0,5,1,0,32,6,39,0,2,0,6,2,38,38,13,37,167,9,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.2509,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.09,100,30.0,0,0,1,9.0,85.0,85.0,0.0,6,1.0,5,1,0,32,6,39,0,2,0,6,2,38,38,13,37,167,9,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
